rally,round,team,receive_location,digger_location,pass_land_location,hitter_location,hit_land_location,pass_rating,set_type,set_location,hit_type,num_blockers,block_touch,serve_type,win_reason,lose_reason,winning_team
77.0,2.0,a,6.0,6.0,8.0,11.0,16.0,out,out,outside,blocked,3.0,yes,,blocked,blocked,a
78.0,1.0,b,3.0,3.0,11.0,12.0,7.0,in,in,bic,hit,2.0,no,jump,,,b
78.0,2.0,a,7.0,7.0,,,23.0,,,,,,,,hit_error,hit_error,b
79.0,1.0,a,,,,,,,,,,,,jump,serve_error,serve_error,a
80.0,1.0,b,3.0,4.0,17.0,13.0,5.0,out,out,outside,hit,3.0,no,jump,kill,kill,b
81.0,1.0,a,6.0,7.0,13.0,11.0,10.0,out,out,oppo,hit,2.0,no,float,,,a
81.0,2.0,b,10.0,10.0,,,16.0,,,,,,,,hit_error,hit_error,a
82.0,1.0,b,10.0,4.0,12.0,11.0,2.0,in,in,oppo,hit,2.0,yes,jump,,,a
82.0,2.0,a,2.0,7.0,16.0,15.0,12.0,out,out,outside,tip,2.0,no,,,,a
82.0,3.0,b,12.0,14.0,12.0,13.0,24.0,in,in,bic,hit,3.0,no,,hit_error,hit_error,a
83.0,1.0,b,3.0,3.0,13.0,15.0,10.0,in,in,oppo,hit,2.0,yes,jump,,,b
83.0,2.0,a,10.0,10.0,,,23.0,,,,,,,,hit_error,hit_error,b
84.0,1.0,a,7.0,3.0,12.0,13.0,11.0,in,in,quick,hit,2.0,yes,jump,tool,tool,a
85.0,1.0,b,9.0,9.0,13.0,15.0,13.0,in,in,outside,blocked,2.0,yes,float,,,b
85.0,2.0,b,13.0,13.0,9.0,6.0,8.0,out,out,oppo,hit,2.0,no,,,,b
85.0,3.0,a,8.0,7.0,13.0,13.0,13.0,in,in,bic,hit,2.0,no,,net,net,b
86.0,1.0,a,9.0,9.0,13.0,15.0,13.0,in,in,outside,hit,2.0,no,jump,kill,kill,a
87.0,1.0,b,2.0,2.0,13.0,15.0,24.0,in,in,outside,hit,2.0,no,jump,hit_error,hit_error,a
88.0,1.0,b,3.0,3.0,13.0,12.0,11.0,in,in,quick,blocked,2.0,yes,jump,,,b
88.0,2.0,b,11.0,11.0,8.0,6.0,7.0,out,out,oppo,hit,2.0,no,,,,b
88.0,3.0,a,7.0,2.0,10.0,15.0,11.0,out,out,outside,roll_shot,2.0,yes,,,,b
88.0,4.0,b,11.0,11.0,8.0,15.0,7.0,out,out,outside,off_speed,2.0,no,,kill,kill,b
89.0,1.0,a,8.0,8.0,13.0,15.0,3.0,in,in,outside,hit,2.0,no,float,kill,kill,a
90.0,1.0,b,3.0,3.0,13.0,14.0,6.0,in,in,quick,off_speed,2.0,no,jump,,,a
90.0,2.0,a,6.0,7.0,14.0,15.0,14.0,out,out,outside,hit,2.0,no,,,,a
90.0,3.0,b,14.0,14.0,13.0,13.0,13.0,out,out,,blocked,1.0,yes,,,,a
90.0,4.0,b,13.0,13.0,8.0,15.0,13.0,out,out,oppo,blocked,2.0,yes,,,,a
90.0,5.0,b,14.0,13.0,9.0,15.0,14.0,out,out,oppo,blocked,3.0,yes,,kill,kill,a
91.0,1.0,b,3.0,3.0,11.0,11.0,,out,out,oppo,roll_shot,2.0,no,jump,net,net,a
92.0,1.0,b,4.0,4.0,7.0,15.0,,out,out,outside,hit,2.0,no,jump,,,b
92.0,2.0,a,9.0,9.0,14.0,,25.0,,,,,,,,hit_error,hit_error,b
93.0,1.0,a,4.0,4.0,13.0,13.0,7.0,in,in,quick,hit,2.0,no,jump,kill,kill,a
94.0,1.0,b,3.0,3.0,13.0,14.0,5.0,in,in,bic,hit,2.0,no,jump,kill,kill,b
95.0,1.0,a,4.0,4.0,13.0,15.0,17.0,in,in,outside,hit,2.0,no,jump,hit_error,hit_error,b
96.0,1.0,a,,,,,,,,,,,,jump,serve_error,serve_error,a
97.0,1.0,b,,,,,,,,,,,,jump,serve_error,serve_error,b
98.0,1.0,a,7.0,7.0,13.0,15.0,2.0,in,in,outside,blocked,2.0,yes,float,kill,kill,b
99.0,1.0,b,2.0,2.0,,,2.0,,,,,,,jump,ace,ace,a
100.0,1.0,b,7.0,2.0,3.0,15.0,15.0,out,out,outside,blocked,3.0,yes,jump,kill,kill,a
101.0,1.0,b,3.0,3.0,7.0,11.0,9.0,out,out,oppo,blocked,2.0,yes,jump,kill,kill,a
102.0,1.0,b,4.0,4.0,12.0,15.0,6.0,in,in,outside,hit,1.0,no,jump,,,a
102.0,2.0,a,6.0,6.0,5.0,12.0,3.0,out,out,oppo,hit,3.0,no,,kill,kill,a
103.0,1.0,b,3.0,3.0,6.0,11.0,11.0,out,out,oppo,blocked,2.0,yes,jump,kill,kill,a
104.0,1.0,b,,,,,,,,,,,,,serve_error,serve_error,b
105.0,1.0,a,7.0,3.0,12.0,26.0,12.0,in,in,outside,tip,0.0,no,jump,,,b
105.0,2.0,b,12.0,6.0,9.0,15.0,17.0,out,out,outside,hit,2.0,yes,,tool,tool,b
106.0,1.0,a,3.0,3.0,12.0,13.0,10.0,in,in,quick,hit,1.0,no,jump,kill,kill,a
107.0,1.0,b,,,,,24.0,,,,,,,jump,serve_error,serve_error,b
108.0,1.0,a,7.0,7.0,12.0,13.0,25.0,in,in,quick,hit,2.0,yes,float,,,a
108.0,2.0,b,25.0,10.0,14.0,15.0,6.0,in,in,outside,blocked,2.0,yes,,kill,kill,a
109.0,1.0,b,8.0,3.0,13.0,14.0,16.0,in,in,quick,hit,2.0,yes,jump,tool,tool,b
110.0,1.0,a,3.0,3.0,13.0,11.0,9.0,in,in,oppo,hit,2.0,no,jump,,,a
110.0,,,9.0,10.0,,,20.0,,,,,,,,hit_error,hit_error,a
111.0,1.0,b,8.0,8.0,11.0,15.0,3.0,out,out,outside,hit,2.0,no,hybrid,kill,kill,b
112.0,1.0,a,3.0,3.0,8.0,11.0,,in,in,oppo,hit,2.0,no,jump,net,net,b
113.0,1.0,a,9.0,9.0,8.0,15.0,12.0,out,out,outside,off_speed,3.0,yes,jump,kill,kill,a
114.0,1.0,b,3.0,3.0,13.0,15.0,3.0,in,in,outside,hit,2.0,yes,jump,,,a
114.0,2.0,a,3.0,3.0,13.0,11.0,23.0,in,in,oppo,hit,2.0,yes,,tool,tool,a
115.0,1.0,b,3.0,2.0,13.0,13.0,3.0,in,in,bic,hit,3.0,no,jump,kill,kill,b
116.0,1.0,a,8.0,8.0,12.0,15.0,14.0,in,in,outside,hit,2.0,no,float,kill,kill,a
117.0,1.0,b,,,,,,,,,,,,jump,ace,ace,a
118.0,1.0,b,3.0,3.0,13.0,14.0,3.0,in,in,quick,hit,2.0,no,jump,,,a
118.0,2.0,a,3.0,3.0,10.0,11.0,6.0,out,out,oppo,off_speed,2.0,yes,,,,a
118.0,3.0,b,6.0,7.0,,,11.0,,,,,,,,hit_error,hit_error,a
119.0,1.0,b,3.0,3.0,13.0,13.0,24.0,in,in,quick,hit,2.0,yes,jump,tool,tool,b
120.0,1.0,a,4.0,5.0,18.0,10.0,,out,out,outside,off_speed,3.0,no,jump,net,net,b
121.0,1.0,a,4.0,3.0,13.0,11.0,13.0,out,out,oppo,hit,2.0,yes,jump,,,b
121.0,2.0,b,13.0,12.0,12.0,15.0,8.0,in,in,outside,off_speed,1.0,yes,,,,b
121.0,3.0,a,8.0,4.0,7.0,11.0,9.0,out,out,oppo,blocked,2.0,yes,,,,b
121.0,4.0,a,9.0,14.0,13.0,13.0,9.0,in,in,quick,hit,2.0,no,,,,b
121.0,5.0,b,9.0,9.0,7.0,11.0,3.0,out,out,oppo,hit,2.0,yes,,,,b
121.0,6.0,a,3.0,3.0,13.0,13.0,3.0,in,in,quick,hit,2.0,yes,,,,b
121.0,7.0,b,3.0,3.0,13.0,13.0,17.0,in,in,bic,hit,2.0,yes,,tool,tool,b
122.0,1.0,a,4.0,4.0,13.0,11.0,25.0,in,in,oppo,off_speed,2.0,yes,jump,tool,tool,a
123.0,1.0,b,2.0,3.0,12.0,15.0,22.0,in,in,outside,hit,2.0,yes,jump,tool,tool,b
124.0,1.0,a,,,,,,,,,,,,jump,serve_error,serve_error,a
125.0,1.0,b,3.0,3.0,13.0,15.0,1.0,in,in,outside,hit,2.0,no,jump,kill,kill,b
126.0,1.0,a,7.0,7.0,13.0,15.0,10.0,in,in,outside,hit,2.0,no,float,,,a
126.0,2.0,b,10.0,10.0,,,19.0,,,,,,,,hit_error,hit_error,a
127.0,1.0,b,4.0,4.0,13.0,13.0,9.0,in,in,quick,hit,1.0,no,jump,kill,kill,b
128.0,1.0,a,,,,,,,,,,,,jump,ace,ace,b
129.0,1.0,a,,,,,,,,,,,,jump,serve_error,serve_error,a
130.0,1.0,b,8.0,8.0,13.0,15.0,10.0,in,in,outside,blocked,2.0,yes,float,kill,kill,a
131.0,1.0,b,10.0,10.0,15.0,15.0,9.0,out,out,d-ball,hit,2.0,no,float,kill,kill,b
132.0,1.0,a,7.0,2.0,13.0,13.0,7.0,in,in,bic,hit,2.0,no,jump,,,a
132.0,2.0,b,7.0,7.0,17.0,8.0,6.0,out,out,bic,overpass,0.0,no,,,,a
132.0,3.0,a,6.0,6.0,13.0,,13.0,out,,,free_ball,1.0,no,,kill,kill,a
133.0,1.0,b,,,,,,,,,,,,jump,serve_error,serve_error,b
134.0,1.0,a,5.0,4.0,11.0,13.0,23.0,in,in,quick,hit,2.0,no,jump,,,a
135.0,1.0,a,,,,,,,,,,,,jump,serve_error,serve_error,a
136.0,1.0,b,3.0,3.0,12.0,11.0,26.0,in,in,oppo,off_speed,2.0,yes,jump,tool,tool,b
137.0,1.0,a,3.0,3.0,13.0,11.0,2.0,in,in,oppo,hit,2.0,no,jump,kill,kill,a
138.0,1.0,b,3.0,4.0,14.0,13.0,9.0,out,out,,blocked,2.0,no,jump,hit_error,hit_error,a
139.0,1.0,b,4.0,4.0,13.0,13.0,8.0,in,in,quick,off_speed,2.0,no,jump,,,a
139.0,2.0,a,8.0,7.0,3.0,11.0,9.0,out,out,oppo,roll_shot,2.0,yes,,,,a
139.0,3.0,b,9.0,9.0,13.0,13.0,8.0,in,in,bic,hit,3.0,yes,,,,a
139.0,4.0,a,8.0,3.0,13.0,11.0,5.0,in,in,oppo,hit,2.0,no,,kill,kill,a
140.0,1.0,b,3.0,3.0,14.0,15.0,10.0,in,in,outside,hit,2.0,yes,jump,,,a
140.0,2.0,a,10.0,14.0,13.0,15.0,24.0,in,in,outside,hit,2.0,yes,,tool,tool,a
141.0,1.0,b,3.0,3.0,14.0,15.0,4.0,in,in,outside,hit,2.0,no,jump,,,a
141.0,2.0,a,4.0,4.0,,,12.0,,,,free_ball,0.0,no,,,,a
141.0,3.0,b,12.0,12.0,8.0,15.0,9.0,out,out,outside,hit,3.0,no,,,,a
141.0,4.0,a,9.0,9.0,9.0,12.0,8.0,out,out,bic,roll_shot,3.0,no,,,,a
141.0,5.0,b,8.0,4.0,8.0,11.0,9.0,out,out,oppo,roll_shot,2.0,no,,,,a
141.0,6.0,a,9.0,10.0,12.0,14.0,8.0,in,in,quick,off_speed,2.0,no,,kill,kill,a
142.0,1.0,a,7.0,7.0,13.0,15.0,6.0,in,in,outside,hit,2.0,no,float,,,a
142.0,2.0,b,6.0,6.0,,,21.0,,,,,,,,hit_error,hit_error,a
143.0,1.0,b,4.0,4.0,13.0,13.0,6.0,in,in,quick,hit,1.0,no,jump,kill,kill,b
144.0,1.0,a,4.0,4.0,13.0,14.0,2.0,in,in,quick,hit,2.0,no,jump,kill,kill,a
145.0,1.0,b,4.0,4.0,13.0,15.0,18.0,in,in,outside,hit,1.0,no,jump,hit_error,hit_error,a
146.0,1.0,b,2.0,2.0,13.0,13.0,13.0,in,in,quick,blocked,1.0,yes,jump,,,a
